length,year,format,object_number
12654,2004,jpg,SK-A-351
11799,2001,jpg,SK-A-3602
15960,2003,jpg,SK-A-3746
9788,2004,jpg,SK-A-3790
9915,2002,jpg,SK-A-383
10779,2002,jpg,SK-A-3892
10402,2002,jpg,SK-A-3908
17791,2002,jpg,SK-A-3945
9773,2004,jpg,SK-A-3969
12989,2002,jpg,SK-A-4
6867,2003,jpg,SK-A-408
16641,2004,jpg,SK-A-4188
24254,2004,jpg,SK-A-4226
19255,2004,jpg,SK-A-4294
15626,2002,jpg,SK-A-4674
16631,2002,jpg,SK-A-4820
7339,2002,jpg,SK-A-4833
16489,2003,jpg,SK-A-4856
10563,2003,jpg,SK-A-4870
19633,2003,jpg,SK-A-614
13621,2003,jpg,SK-C-1349
18067,2003,jpg,SK-C-1350
25744,2002,jpg,SK-C-1458
8748,2004,jpg,SK-C-1637
11054,2004,jpg,SK-C-195
13086,2002,jpg,SK-C-206
12459,2004,jpg,SK-C-210
12287,2004,jpg,SK-C-211
11653,2002,jpg,SK-C-216
9469,2004,jpg,SK-C-251
12085,2000,jpg,SK-C-5
10970,2004,jpg,SK-C-535
8174,2002,jpg,SK-C-6
1727,2001,jpg,SK-A-101
2172,2001,jpg,SK-A-102
2748,2001,jpg,SK-A-1058
2950,2001,jpg,SK-A-110
2314,2001,jpg,SK-A-1115
3565,2001,jpg,SK-A-112
2482,2001,jpg,SK-A-1163
5197,2003,jpg,SK-A-1196
2197,2001,jpg,SK-A-1225
2461,2003,jpg,SK-A-123
1883,2001,jpg,SK-A-1247
2483,2003,jpg,SK-A-1293
2513,2002,jpg,SK-A-1299
2223,2002,jpg,SK-A-1328
3082,2002,jpg,SK-A-133
2107,2001,jpg,SK-A-135
2187,2002,jpg,SK-A-1364
2547,2001,jpg,SK-A-1365
2197,2001,jpg,SK-A-137
2021,2001,jpg,SK-A-138
1877,2001,jpg,SK-A-1405
2036,2001,jpg,SK-A-142
4120,2001,jpg,SK-A-1451
2718,2001,jpg,SK-A-1491
2043,2001,jpg,SK-A-1505
2491,2002,jpg,SK-A-1510
1890,2001,jpg,SK-A-1522
2792,2001,jpg,SK-A-1537
2563,2001,jpg,A-1558
2421,2001,jpg,SK-A-1584
1822,2001,jpg,SK-A-1591
1843,2001,jpg,SK-A-1595
3111,2001,jpg,SK-A-1598
2398,2002,jpg,SK-A-1606
2024,2001,jpg,SK-A-1610
2437,2002,jpg,SK-A-1627
1626,2001,jpg,SK-A-164
2310,2001,jpg,SK-A-1683
2657,2001,jpg,SK-A-1688
2613,2001,jpg,SK-A-1691
2493,2001,jpg,SK-A-175
1454,2001,jpg,SK-A-1751
2078,2001,jpg,SK-A-1774
2155,2001,jpg,SK-A-1775
1754,2001,jpg,SK-A-1786
3071,2001,jpg,SK-A-1796
2516,2001,jpg,SK-A-180
2448,2001,jpg,SK-A-182
2136,2001,jpg,SK-A-1845
1916,2002,jpg,SK-A-1848
2852,2001,jpg,SK-A-1849
2360,2001,jpg,SK-A-188
3101,2002,jpg,SK-A-19
2189,2001,jpg,SK-A-1910
2037,2002,jpg,SK-A-1957
1495,2001,jpg,SK-A-199
4886,2004,jpg,SK-A-1998
5476,2004,jpg,SK-A-2045
2166,2001,jpg,SK-A-2102
1971,2001,jpg,SK-A-2103
2858,2001,jpg,SK-A-2115
2443,2001,jpg,SK-A-2152
2828,2001,jpg,SK-A-2163
1839,2001,jpg,SK-A-2205
3009,2001,jpg,SK-A-2213
3481,2001,jpg,SK-A-2238
1781,2001,jpg,SK-A-2248
1858,2001,jpg,SK-A-2249
2693,2001,jpg,SK-A-2264
2678,2001,jpg,SK-A-2290
2576,2001,jpg,SK-A-2298
3256,2001,jpg,SK-A-2312
